School,City,State,Latitude,Longitude,MD-PhD Program,MD-PhD_link,#1 Specialty (2025 Match),#2 Specialty (2025 Match),#3 Specialty (2025 Match),image_url,Description,Website,LCME Accreditation Status,Initial Year of LCME Accreditation,hierarchical_cluster,cluster_summary
Hackensack Meridian School of Medicine,Nutley,New Jersey,40.8338078,-74.1578353,No,,Not available,Not available,Not available,https://medicalaid.org/wp-content/uploads/2022/08/Hackensack-Meridian-School-of-Medicine-HMSOM.jpeg,"Our Vision
Each person in New Jersey, and in the United States, regardless of race or socioeconomic status, will enjoy the highest levels of wellness in an economically and behaviorally sustainable fashion.

Our Mission
To develop our students, residents, fellows, faculty, and healthcare environment to deliver the highest quality care for all.

Embrace and model our professional reverence for the human condition, empathy towards suffering, excellence in medical care, research and discovery, and humility in service;
Continue to serve and learn from the engagement of underrepresented minority populations among student, faculty, staff, and community;
Integrate lifelong learning and inquiry into our students’ practice;
Work in communion with scholars and practitioners of other disciplines to integrate their perspectives, experiences, and tools; and
Understand that context, community, and behavior drive wellbeing.",https://www.hmsom.edu/en,Full,2018,3,"community, levels, health, rfu, development"
Harvard Medical School,Boston,Massachusetts,42.3356451,-71.1065968,Yes,https://www.hms.harvard.edu/md_phd/,Internal Medicine,Anesthesiology,Orthopedic Surgery,https://hms.harvard.edu/sites/default/files/teaser-images/750GordonHall_2550%5B4%5D.jpg,"About Harvard Medical School
Since the School was established in 1782, faculty members have improved human health by innovating in their roles as physicians, mentors and scholars. They’ve piloted educational models, developed new curricula to address emerging needs in health care, and produced thousands of leaders and compassionate caregivers who are shaping the fields of science and medicine throughout the world with their expertise and passion.

Our Mission
To nurture a diverse, inclusive community dedicated to alleviating suffering and improving health and well-being for all through excellence in teaching and learning, discovery and scholarship, and service and leadership.

MD Students
Welcome to Harvard Medical School
A vibrant community is shaping the future of education and biomedicine
Members of the Harvard Medical School community have also excelled in the research arena. Faculty members have been making paradigm-shifting discoveries and achieving “firsts” since 1799, when HMS Professor Benjamin Waterhouse introduced the smallpox vaccine to the United States. Their accomplishments are recognized internationally, and, in fact, 15 researchers have shared in nine Nobel prizes for work completed while at the School.

The Faculty of Medicine includes more than 11,000 individuals working to advance the boundaries of knowledge in labs, classrooms and clinics. The School’s main quadrangle in Boston houses nearly 200 tenured and tenure-track faculty members in basic and social science departments as well as in classrooms where students spend their first two years of medical school.

But teaching and research extend beyond the Quad. Harvard Medical School has affiliation agreements with 15 of the world’s most prestigious hospitals and research institutes, vital partners that provide clinical care and training. They also serve as home base for more than 10,000 physicians and scientists with faculty appointments.

With its vast reservoir of talent, extensive network of affiliates and commitment to problem solving, Harvard Medical School is uniquely positioned to steer education and research in directions that will benefit local, national and global communities.",https://hms.harvard.edu/,Full,On or prior to 1942*,35,"arkansas, members, school, nyu, uams"
Howard University College of Medicine,"Washington, DC",,38.9189573,-77.022634,Yes,https://medicine.howard.edu/admission-aid/application-instructions-program,Not available,Not available,Not available,https://medicine.howard.edu/sites/medicine.howard.edu/files/styles/large/public/2023-01/class%20in%20front%20of%20sigm.jpeg?itok=92NxLAM8,"Mission, Vision and Core Values
The College of Medicine dates from 1868 and serves a broad constituency, with about 70% of the student body being U.S. underrepresented minorities and a substantial number being from foreign countries. There are over 4,000 living alumni, making up a large percentage of the black physicians practicing in this country.
Mission
Howard University College of Medicine provides students of high academic potential with a medical education of exceptional quality and prepares physicians and other health care professionals to serve the underserved. Particular focus is on the education of disadvantaged students for careers in medicine. Emphasis is placed on developing skills and habits of life-long learning and producing world leaders in medicine. Special attention is directed to teaching and research activities that address health care disparities.

The College also seeks to improve the health of Americans and the global community through public health training programs and initiatives. Our mission also includes the discovery of new knowledge through research. Lastly, the College supports the education and training of postgraduate physicians, other health care providers, and graduate students in the biomedical sciences.

Vision
The goal of the Howard University College of Medicine is to enhance our global recognition as a medical school of the first rank, known for the excellence of our teaching, research and service. We will continue to be a world leader in the training of competent, compassionate physicians and other health professionals for medically underserved communities and populations. In addition, the College envisions that it will be an exemplar in eliminating health disparities and in finding solutions through research and public health programs for medical problems disproportionately found in disadvantaged communities, both in this nation and abroad.

Core Values
The core values of the Howard University College of Medicine are:

fidelity to our mission and a strong and confident belief in our work;
excellence and integrity in all that we undertake--teaching, research, and service;
leadership in medical education and health care, especially for African Americans, other minorities, and the economically disadvantaged;
service to our community, the nation, and the world through public health programs, medical care, and health education;
the unrelenting pursuit of knowledge through research and life-long learning; and
a commitment to cultural diversity among faculty, staff and students and to ensuring a respectful and ethical academic environment.",https://medicine.howard.edu/,Full,On or prior to 1942*,6,"health, new, care, professionals, scientists"
Icahn School of Medicine at Mount Sinai,New York,New York,40.7900118,-73.99185,Yes,https://icahn.mssm.edu/education/md-phd,Internal Medicine,Anesthesiology,Psychiatry,https://icahn.mssm.edu/files/ISMMS/Assets/About/Contacts-Directions/ISMMS-ContactDirections-IcahnBuilding-Carousel-768x307-v3.jpg,"At the Icahn School of Medicine at Mount Sinai, we are dramatically advancing the art and science of medical care and biomedical research through an atmosphere of intense collaborative learning, scholarly inquiry, and keen commitment to optimal patient care for everyone.

Mission Statement
The Icahn School of Medicine at Mount Sinai advances science, medicine, and health care delivery for the benefit of humanity through a culture of excellence, innovation, collaboration, and belonging. We conduct groundbreaking research; educate and nurture the next generation of exceptional clinicians, researchers, teachers, and leaders; and deliver the most advanced compassionate care with an unwavering commitment to health equity.

Our Vision
We pursue innovative approaches to education, research, and patient care, combining the best traditions of biomedicine and health care delivery with the principles and entrepreneurial thinking of a startup, to uncover novel insights about disease and health. Building this culture of innovation requires making large investments and taking a transformative approach to discovery, which means taking risks and disrupting the status quo. In this way, we are transforming the practice of medicine while reinventing medical research to produce radically better outcomes for patients.

We seek students who can contribute open-mindedness, empathy, broad thinking, and medical, scientific, technological, and engineering expertise to change the very nature of biomedicine. We have developed a number of admissions and training programs to foster these advances and recruit multitalented students.

We continually pioneer innovative approaches in our medical and graduate education curricula that instill entrepreneurism, encourage critical thinking, and equip the next generation of basic and clinical scientists with leading-edge methodological and technological skills to translate scientific discovery into practice and improve public health.

We have ambitious goals, preparing scientists, physicians, and leaders who will make significant contributions to local and global health care, remaining forever inquisitive in their quest for lifelong growth, learning, and contribution. We train in the classroom and the laboratory, at the bedside, and in the community. Our unwavering commitment to intellectual exchange, multidisciplinary teamwork, and innovation continually drives us forward in discoveries, advances, and service.

As a leader in biomedical research, we have hired highly accomplished scientists and executives with startup experience and melded them with Mount Sinai’s doctors and researchers, spurring new levels of collaboration among our faculty. We are an engine of discovery, creating new treatments for the patients who need them the most, working in partnership with leading high-tech companies. We are on the threshold of a new era in precision medicine, and our mission is to cure diseases once thought incurable, changing the lives of patients worldwide.

A Foundation of Service
Our values are deeply ingrained in the School. When our School’s doors opened in 1968, our founding trustees envisioned a new and progressive institution, embedded within the real-world environment of a working hospital. They called for the levels of passion, inquiry, dedication, knowledge, leadership, and innovation for which the School is renowned.

Today, we train nearly 2,000 students and postdoctoral fellows and more than 2,600 clinical residents and fellows each year, with a faculty of 4,500 full-time and part-time scientists, educators, and clinicians working within and across 38 academic departments and 45 multidisciplinary institutes.

We are now one of the nation’s elite biomedical and clinical institutions. Our National Institutes of Health funding is among the highest nationwide. Our Health System is one of the largest and best in the country. We have built inspirational leadership, a comprehensive infrastructure, strategic affiliates, and a solid support system, as we train health care and research leaders for the 21st century in the vibrant and diverse city of New York.",https://icahn.mssm.edu/,Full,1968,6,"health, new, care, professionals, scientists"
Indiana University School of Medicine,Indianapolis,Indiana,39.5811775,-86.876213,Yes,https://medicine.iu.edu/dual-degrees/md-phd,Not available,Not available,Not available,https://news.iu.edu/live/image/gid/2/width/1260/height/630/crop/1/6114_634ec6a269df5_IUSM20Medical20Education20building20East20elevation.jpg,"Preparing Healers. Transforming Health.
Indiana University School of Medicine is a national leader in medical research and education. With more than 60 academic departments and specialty divisions across nine campuses and strong clinical partnerships with Indiana’s most advanced hospitals and physician networks, the school is continuously advancing its mission to prepare healers and transform health in Indiana and throughout the world.",https://medicine.iu.edu/,Full,On or prior to 1942*,31,"health, transforming, school, indiana, medicine"
Jacobs School of Medicine and Biomedical Sciences at the University at Buffalo,Buffalo,New York,42.8997508,-78.8718,Yes,https://medicine.buffalo.edu/mdphd,Internal Medicine,Pediatrics,Family Medicine,https://www.buffalo.edu/content/www/top25ambition/beyond-UB-2020/living_learning_environment/JSMBS/_jcr_content/par/textoverphoto.img.926.539.jpg/1709330458516.jpg,"From our founding as a medical school in 1846, to paving the way for future physicians, the Jacobs School of Medicine and Biomedical Sciences builds upon its proud legacy of teaching, patient care and scientific discovery.

Our Vision
To Educate, To Discover, To Heal

Our Mission
To advance health and wellness across the life span for the people of New York and the world through the education of tomorrow’s leaders in health care and biomedical sciences, innovative research and outstanding clinical care.

Our Goals
attract the most promising individuals and support their development
enhance our intellectual and technological environment to foster exceptionally creative science and education
develop and maintain excellent clinical programs to provide outstanding care
cultivate excellence, collegiality, and diversity
observe the highest standards of ethics, integrity, professionalism, and humanism
apply advances in science, medicine, and education to the betterment of humanity",https://medicine.buffalo.edu/,Full,On or prior to 1942*,6,"health, new, care, professionals, scientists"
Johns Hopkins University School of Medicine,Baltimore,Maryland,39.2957568,-76.5989,Yes,https://e-catalogue.jhu.edu/medicine/medical-students/md-phd-combined-degree/,Not available,Not available,Not available,https://www.hopkinsmedicine.org/-/media/radiology/dome_bright.png,"We educate medical students, graduate students and postdoctoral fellows to practice patient-centered medicine, to study the prevention and treatment of disease, and to excel in health care delivery and in the basic sciences.",https://www.hopkinsmedicine.org/som,Full,On or prior to 1942*,14,"students, medical, stritch, basic, excel"
Kaiser Permanente Bernard J. Tyson School of Medicine,Pasadena,California,34.1442055,-118.1434,Yes,https://medschool.kp.org/admissions/md-phd-program,Internal Medicine,Family Medicine,Obstetrics-Gynecology,https://medcitynews.com/wp-content/uploads/sites/7/2020/07/Kaiser-med-school.png,"Our Mission
The Kaiser Permanente Bernard J. Tyson School of Medicine strives to provide a world-class education for every one of our students.

We aim to ignite a passion for lifelong learning, a desire to serve patients, and an unwavering commitment to improve the health and well-being of communities.  ",https://medschool.kp.org/,Full,2019,31,"health, transforming, school, indiana, medicine"
Keck School of Medicine of the University of Southern California,Los Angeles,California,34.061138,-118.3581,Yes,https://keck.usc.edu/md-phd-program/,Internal Medicine,Family Medicine,Anesthesiology,https://medicalaid.org/wp-content/uploads/2021/09/Keck-School-of-Medicine-of-USC.jpg,"Create The Future Of Medicine
At the Keck School of Medicine, we ignite discovery. Our research asks probing questions to transform health on a global scale. Our innovative curriculum tackles the cultural and environmental factors that influence health, giving students invaluable experience treating patients in the diverse and vibrant heart of L.A. And every day, we provide innovative, personalized and compassionate care to our patients, helping them live longer, healthier lives. Experience all this in a uniquely creative, entrepreneurial setting that sparks groundbreaking new treatments and one-of-a-kind collaborations.",https://keck.usc.edu/,Full,1949,31,"health, transforming, school, indiana, medicine"
Kirk Kerkorian School of Medicine at UNLV,Las Vegas,Nevada,36.1638855,-115.16732,No,,Internal Medicine,Psychiatry,Family Medicine,https://www.unlv.edu/sites/default/files/styles/1140_width/public/media/image/2022-11/Medicine-D74389-007-MEB.jpg?itok=eaBJTQfB,"Mission
The Kirk Kerkorian School of Medicine at UNLV will serve our patients, students, medical professionals, and community as a transformational force for improving healthcare in Nevada. This is accomplished by delivering evidence-based, innovative centers of excellence in medical education and research, coupled with cost-effective, high-quality care that improves the health of our community members throughout their lifespan, becoming an integral contributor to an Academic Health Center, and creating a culture of collaboration through inclusion and excellence.

Values
Strive for Excellence
Drive Innovation
Serve with Compassion and Humility",https://www.unlv.edu/medicine,Full,2016,10,"inclusion, diversity, collaboration, humility, communities"
Lewis Katz School of Medicine at Temple University,Philadelphia,Pennsylvania,40.0068623,-75.154697,Yes,https://www.temple.edu/academics/degree-programs/medicine-md-me-meds-md/katz-md-dual-degrees,Not available,Not available,Not available,https://news.temple.edu/sites/news/files/styles/article_hero/public/20151113_katzmedschool_003_938x528.jpg?itok=q9WAkSE2&c=ec04b0b386a8865d81daa22bcadb37d0,"Founded in 1901 as Pennsylvania’s first co-educational medical school, the Lewis Katz School of Medicine has attained a national reputation for training humanistic clinicians and biomedical scientists. The school attracts students and faculty committed to making a difference in patient care, research, education and public service — at home and across the globe. 

The School of Medicine and Temple University Hospital (TUH), its chief clinical training site, provide care for patients from throughout the region seeking advanced tertiary- and quaternary-level care. In addition, Temple University Hospital is Pennsylvania’s premier safety net provider, located in America’s largest city without a public hospital.

With clinical training sites that include other member hospitals and specialty centers of the Temple University Health System and educational affiliates of the School of Medicine, medical students gain experience in a variety of urban, suburban, and rural in- and out-patient settings. They learn to provide culturally competent, interprofessional care to a diverse population of patients with simple conditions as well as highly complex ones. 

The Lewis Katz School of Medicine is a school that prizes not just technical excellence but diversity, equality and inclusion. It teaches the true art and science of “doctoring.“ Moreover, its educational strategic plan, “Improving Health Through Innovation in Medical Education,” keeps pace with new medical knowledge and with emerging trends in care delivery.

The school’s home base in Philadelphia is a spectacular 11-story, 480,000 square-foot medical education and research building that features state-of-the-art facilities and technologies for medical education and research. With specialized research centers focused on population health, metabolic disease, cancer, heart disease and other strategic priorities, the school conducts investigations to break new ground – and trains future generations of researchers to follow suit.

On October 13, 2015, Temple's medical school was officially dedicated as the Lewis Katz School of Medicine – a historic milestone in the school’s history. Thousands of people participated in events celebrating this change which, Dean Dr. Larry Kaiser said, ""joins our school’s legacy to the values that Lewis lived by, and the values which we have always tried to instill in our students – hard work, dedication, service.""

The Lewis Katz School of Medicine is part of Temple University Health System, a $1.6 billion enterprise.",https://medicine.temple.edu/,Full,On or prior to 1942*,37,"school, medical, university, duke, health"
Loma Linda University School of Medicine,Loma Linda,California,34.0504296,-117.266751,Yes,https://medicine.llu.edu/research/graduate-programs/mdphd-program,Not available,Not available,Not available,https://medicine.llu.edu/sites/medicine.llu.edu/files/styles/crop_topic_condensed/public/why-llu.jpg?itok=0E3SL79S,"Since opening in 1909, Loma Linda University's School of Medicine has been training skilled medical professionals with a commitment to Christian service. The school has always endeavored to combine the best medical science with caring, Christian compassion. Loma Linda students are trained in a context emphasizing the patient's needs and preventive care to offset future disease.

Medical students spend the first two years studying a heavy science curriculum balanced by class work in human behavior, religion, and ethics. As juniors, students spend time in clinical rotations and instruction in family medicine, gynecology and obstetrics, medicine, pediatrics, psychiatry, radiology, and surgery. Seniors rotate through advanced training in medicine and surgery and finish their degree with four months of electives.

Loma Linda medical students have the unique opportunity to utilize their skills in human betterment. Most medical students participate in two very popular University programs: Social Action Community Health System and Students for International Mission Service. In each they help deliver medical care to lower-income people and others who have no access to basic medical care.",https://medicine.llu.edu/,Full,On or prior to 1942*,14,"students, medical, stritch, basic, excel"
Louisiana State University School of Medicine in New Orleans,New Orleans,Louisiana,29.9566006,-90.086253,Yes,"https://graduatestudies.lsuhsc.edu/md_phd/default.aspx#:~:text=The%20MD%2FPhD%20Program%20at,experience%20should%20consider%20this%20program.",Internal Medicine,Family Medicine,Psychiatry,https://www.medschool.lsuhsc.edu/family_medicine/images/umcno-exterior.jpg?12/28/2020%2012:19:19%20pm,"Welcome to the LSU Health New Orleans School of Medicine.  The school was founded in 1931 with a dual mission of training outstanding doctors who are committed to care for the underserved and providing excellent healthcare for the people of Louisiana. What began as a small School of Medicine has now grown into a major Health Sciences Center with five other schools (Dentistry, Nursing, Allied Health, Public Health and Graduate Studies), but our commitment to excellence in patient care and service to our community continues today. Our faculty, residents and students also work to advance medical science - whether making exciting discoveries in the laboratory, studying new treatments in our clinics, or understanding how our delivery system can improve health equity. I encourage you to take a closer look at our school. I believe you will find what you seek in your education and training.

Whether you come to LSU Health New Orleans for medical school or residency, you will learn to be an outstanding physician. We have a rich history of medical education that dates to the historic 2000-bed Charity Hospital. We have replaced Charity with a new University Medical Center, New Orleans. This 1.5 million square foot hospital won architectural recognition for its use of natural light, custom artwork, and integration of outdoor spaces. Its very design enhances comfort, healing and dignity for our patients, and it serves as our primary teaching hospital for adult care. Our outstanding faculty will help you become a physician who practices with compassion, depth of knowledge, critical thinking, and technical proficiency. You will also learn the practice of medicine within the social context of community needs and you will learn the importance of providing excellent care for all, including underserved populations.

The medical school curriculum integrates clinical and basic science teaching from day one. Skills training in our Student Learning Center and Center for Advance Practice simulation labs also begins early in the first year. Our health equity curriculum will challenge you to understand the roots of health disparities and inspire you to find solutions. Interested students have opportunities to explore those challenges on a deeper level and gain real-world experience in health policy. Our students may do their third and fourth-year clinical rotations in New Orleans, or at regional campuses in Baton Rouge and Lafayette. All are outstanding learning environments with dedicated teachers, a diverse patient population, and a wide range of disease conditions from which to learn.

We have over 900 residents and fellows in over 65 different accredited programs. Our residents train at a broad range of hospitals in New Orleans and across the southern regions of the State. This diversity of academic and community-based training sites provides a rich learning experience, and our residents treat patients from all walks of life. All training programs utilize our simulation centers for skills training, and residents have access to state-of-the art CME courses that teach the latest innovations in patient care and surgical procedures. We have been leaders in simulation for more than 20 years, and our recently opened CALS building (Center for Advanced Learning and Simulation) expands our simulation capacity. This $65,000,000 project will allow us to develop innovative programs in mass trauma simulation, doctor-patient communication, robotics, and other advanced training.  I invite you to come to our campus and see this new showcase of the school’s facilities.",https://www.medschool.lsuhsc.edu/,Full,On or prior to 1942*,13,"center, simulation, ummc, campus, health"
Louisiana State University School of Medicine in Shreveport,Shreveport,Louisiana,32.4814929,-93.763621,Yes,https://schoolofgradstudies.lsuhs.edu/admissions,Not available,Not available,Not available,"https://resources.finalsite.net/images/f_auto,q_auto/v1699905090/lsuhscshreveportedu/sonbmksdapu1za2afocq/CampusAug2023HERO.png","We have been educating healthcare professionals who excel at the highest levels in academia, private practice and industry for more than 50 years.
Students consistently rave over experiencing a rigorous education in a family atmosphere where uniqueness and success are celebrated. Further strengthening the student experience are vibrant, safe communities in north Louisiana which offer an affordable cost of living.

 

Medical students interact with patients from their very first semester and learn from a combination of lectures, small groups, standardized patient exercises and clinical skills throughout their training.

two women opening airway with tube on manikin
   

For those with a heightened interest in research, the school offers joint PhD programs with both the School of Graduate Studies and Louisiana Tech. Students can also opt to enroll in the Research Distinction Track to or apply to become part of the American Medical Student Research Journal, founded in 2013 by our medical students. 

The School of Medicine counts a Faculty of over 500 with a class size of 150 since 2021. Plans are underway to increase class size to 200 over the upcoming years. This expansion is being made possible due to the construction of the Center for Medical Education.",https://schoolofmedicine.lsuhs.edu/,Full,1968,14,"students, medical, stritch, basic, excel"
Loyola University Chicago Stritch School of Medicine,Maywood,Illinois,41.8586313,-87.838686,Yes,https://www.luc.edu/stritch/mdphd/,Internal Medicine,Family Medicine,Emergency Medicine,https://www.luc.edu/media/stritchschoolofmedicine/2023-rebuild/1000x560/stritch-exterior-1000x560.jpg,"Stritch is one of four medical schools in the United States rooted in Jesuit, Catholic values. While we welcome students of all faiths, Jesuit values are central to our curriculum, how faculty teach, how students learn, and how together we build community. Stritch faculty – clinicians, scientists, researchers, and ethicists – along with students and staff, live the School's mission:

Loyola University Chicago Stritch School of Medicine (Stritch) is committed to scholarship and the education of medical professionals and biomedical scientists. Our faculty, trainees, students, and staff, are called to go beyond facts, experimentation, and treatment of disease to prepare people to lead extraordinary lives and treat the human spirit in an environment that encourages innovation, embraces diversity, respects life, and values human dignity.

Thoughtful, scholarly excellence, service, stewardship, and continuing reflection further strengthen our ability to contribute high impact research and provide a superior education.

Stritch students enjoy opportunities to personalize their educational experience to meet their specific professional goals with a focus on research, public or global health and/or Bioethics. Loyola's dual-degree programs – combining an MD with a Master of Public Health, MBA, PhD, or other degrees – provide students with multiple options.

Graduates are prepared for a well-rounded approach to their professional careers. We are proud of our students and graduates who strive for excellence, in the spirit of compassion, discernment, and service.",https://www.luc.edu/stritch/,Full,On or prior to 1942*,14,"students, medical, stritch, basic, excel"
Marshall University Joan C. Edwards School of Medicine,Huntington,West Virginia,38.4100158,-82.429755,Yes,https://jcesom.marshall.edu/research/mdphd-program/,Internal Medicine,Radiology,Anesthesiology,https://jcesom.marshall.edu/media/59091/m85_8869.jpg?width=500&height=333.3668139815187,"The Joan C. Edwards School of Medicine at Marshall University is a community-based, Veterans Affairs affiliated medical school dedicated to providing high quality medical education and postgraduate training programs to foster a skilled physician workforce to meet the unique healthcare needs of West Virginia and Central Appalachia. Building upon its medical education foundation, the school seeks to develop centers of excellence in clinical care, including primary care in rural underserved areas, focused and responsive programs of biomedical science graduate study, biomedical and clinical science research, academic scholarship and public service outreach. The School is committed to fulfilling its mission by cultivating a dynamic and welcoming academic community sustained in a supportive environment that encourages lifelong learning.",https://jcesom.marshall.edu/,Full,1977,37,"school, medical, university, duke, health"
Mayo Clinic Alix School of Medicine,Rochester,Minnesota,44.0183635,-92.572416,Yes,https://college.mayo.edu/academics/biomedical-research-training/medical-scientist-training-program-md-phd/,Internal Medicine,General Surgery,Emergency Medicine,"https://pxl-mayoedu.terminalfour.net/fit-in/720x480/filters:quality(75)/0x0:720x480/prod01/channel_2/media/mccms/content-assets/about/news/april-2019/3951843-Stanek,Jeanie-MayoAlix-Web2.jpg","Since Mayo Clinic was established more than 150 years ago, our goal has been to provide outstanding care to our patients and offer superior educational programs that ensure the success of the next generation of medical, scientific, and allied health professionals.

In fact, even our name — Mayo Clinic — comes from this idea. From the beginning, Dr. William Worrall Mayo and his sons, Dr. William J. Mayo and Dr. Charles H. Mayo, invited physicians and students to visit Rochester, Minnesota, and learn about their innovative medical and surgical practice. Visitors coming to observe referred to attending the ""Mayos' clinic.""

At the same time, the Mayo brothers and their colleagues were distinguished scholars who traveled the world to learn from others and bring back the latest medical developments to incorporate into their own practice. As the Mayo Clinic integrated medical practice grew, the importance of education continued to be a central focus.",https://college.mayo.edu/academics/mayo-clinic-alix-school-of-medicine/,Full,1972,16,"mayo, nsu, small, dr, clinic"
McGovern Medical School at the University of Texas Health Science Center at Houston,Houston,Texas,29.7128982,-95.39982,Yes,https://gsbs.uth.edu/mdphd/,Internal Medicine,Anesthesiology,Pediatrics,https://med.uth.edu/pediatrics/wp-content/uploads/sites/63/2023/08/McGovern-Medical-School-building-1.jpg,"The 11th-largest medical school in the United States, we are the largest of the seven schools of UTHealth Houston.

Working in the heart of the Texas Medical Center, our faculty, staff, students, and trainees have amazing opportunities in patient care, research, and collaboration.

Known as a collegial and friendly school, we attract outstanding students. More students apply here than any other public medical school in Texas. With our affordable tuition and fees, we are consistently rated as one of the best values in medical education. We are proud to celebrate our annual traditions that include a Student Retreat for incoming students, White Coat Ceremony, Student Clinician Ceremony, and, of course, Match Day and Commencement.

Our high-tech curriculum is grounded by our values of humanism and respect for each patient. Quality, wellness, and your career are our priorities.

With more than 900 accredited residency and fellowship positions in specialty and subspecialties, we offer an incredible breadth of clinical training programs and are proud to train the best specialists for Texas. Our primary teaching hospital, Memorial Hermann-Texas Medical Center, recently was ranked second in the United States among major teaching hospitals.

It is gratifying to know that our more than 8,000 graduates are serving their communities and are carrying on our McGovern Medical School tradition. We welcome you to McGovern Medical School at UTHealth Houston and invite you to be a part of our story.",https://med.uth.edu/,Full,1970,21,"texas, east, medicine, school, communities"
Medical College of Georgia at Augusta University,Augusta,Georgia,33.4706281,-81.992489,Yes,https://www.augusta.edu/mcg/mdphd/,Internal Medicine,Pediatrics,Family Medicine,https://www.augusta.edu/colleges/medicine/images/mcg-hero.png,"Mission
To lead the primary & specialty healthcare needs of Georgia & beyond, with an emphasis on caring for underserved communities, by delivering excellence in individualized medical education, transformative research, innovative patient care & community engagement. 


Vision 
MCG will be a nationally recognized leader in medicine, delivering patient-centered & technologically advanced medical education, transformative research, & exceptional clinical & preventive care, leading to healthier communities.",https://www.augusta.edu/mcg/,Full,On or prior to 1942*,24,"delivering, transformative, cross, disciplinary, engagement"
Medical College of Wisconsin,Milwaukee,Wisconsin,43.0436888,-88.023871,Yes,https://www.mcw.edu/education/medical-scientist-training-program,Internal Medicine,Family Medicine,General Surgery,https://www.mcw.edu/departments/medicine/divisions/general-internal-medicine/primary-care/-/media/FE3E0A76A84741D9B91A7E89309D96E2.ashx?anchor=middlecenter&scale=both&mode=crop&hash=11AA0E0D89F2FDBCAEA742DC6DCA9358,"Together, we can build a healthier world.
The Medical College of Wisconsin brings together the most inquisitive minds in science, medicine, education and community engagement to solve the toughest challenges in health and society today. Academic medicine is at the core, where scientists, physicians and students work hand-in-hand with the community to ask the questions no one else is, and fuel the continuous cycle of knowledge that’s shaping the future of medicine.",https://www.mcw.edu/,Full,On or prior to 1942*,33,"toughest, world, medicine, hand, students"
Medical University of South Carolina College of Medicine,Charleston,South Carolina,32.7834496,-80.022243,Yes,https://gradstudies.musc.edu/programs/combined-degree/mstp,Not available,Not available,Not available,https://web.musc.edu/-/media/images/social/icons/enterprise.jpg,"Founded in 1824, the MUSC College of Medicine was the first medical school in the southern U.S. and the 10th medical school in the country. More than 10,000 medical degrees have been conferred by the College of Medicine since its founding.

Today, the College is home to more than 1500 faculty members committed to providing excellence in clinical care and in the training of 740 medical students, 35 master of public health students, and nearly 900 residents and fellows. The College is also home to a robust basic, clinical, and translational research enterprise, with more than $250 million in extramural research funding awarded in the last year. 

Mission
Our mission as academic leaders is to offer innovative education, training, and research in service of compassionate health care delivery. By fostering a wide-ranging educational community, we empower the health professionals and scientists of tomorrow to promote the health and well-being of the residents of South Carolina and beyond.

Vision
Cultivate exceptional and compassionate healthcare through innovation in education, research, and clinical service to benefit all individuals.

Values
Compassion, Collaboration, Innovation, Integrity, Respect",https://medicine.musc.edu/,Full,On or prior to 1942*,4,"college, care, health, meharry, medical"
Meharry Medical College,Nashville,Tennessee,36.1675115,-86.8089,Yes,https://home.mmc.edu/meharry-announces-joined-m-d-ph-d-program-with-university-of-pennsylvanias-wharton-school-of-health-care-management/,Not available,Not available,Not available,https://home.mmc.edu/wp-content/uploads/2021/09/Tombstone-scaled.jpg,"
Located in Nashville, Tennessee, Meharry Medical College is one of the nation’s oldest and largest historically black academic health science centers dedicated to educating physicians, dentists, researchers, and health policy experts.

 

Founded in 1876 as the Medical Department of Central Tennessee College, Meharry was the first medical school in the South for African Americans. It was chartered separately in 1915.

 

Today, Meharry includes a medical school, dental school, graduate school and applied computational sciences school; and is home to the Center for Health Policy at Meharry. The degrees include Doctor of Medicine (M.D.), Doctor of Dental Surgery (D.D.S.), Master of Science in Public Health (M.S.P.H.), Master of Science (M.S.), and Doctor of Philosophy (Ph.D.) degrees.

 

Meharry is a United Methodist Church-affiliated institution. A 2010 study published in the Annals of Internal Medicine ranked Meharry as one of the nation’s top five producers of primary care physicians. Meharry is also a leading producer of African Americans with Ph.Ds. in biomedical sciences.

 

In addition to providing quality professional health care education, exemplary patient care, and compassionate community outreach, Meharry Medical College produces the Journal of Health Care for the Poor and Underserved, a public health journal.",https://home.mmc.edu/,"Full, on probation",On or prior to 1942*,4,"college, care, health, meharry, medical"
